g = [('b', -9), ('a', -5), ('b', 14), ('a', -14), ('b', 11), ('a', -8), ('b', 5), ('a', 15), ('b', -4), ('a', 9), ('b', -3), ('a', 9), ('b', -13), ('a', -14), ('b', -7)] n=15, fixed words = 10941075
g = [('a', -3), ('b', 8), ('a', 8), ('b', 4), ('a', -6), ('b', 3), ('a', 7), ('b', 14), ('a', 10), ('b', -7), ('a', -5), ('b', 12), ('a', 12), ('b', -10), ('a', 3)] n=15, fixed words = 11004174
g = [('b', 5), ('a', -15), ('b', -14), ('a', -13), ('b', -9), ('a', 10), ('b', -15), ('a', 3), ('b', -13), ('a', 11), ('b', 13), ('a', 2), ('b', 4), ('a', 1), ('b', -1)] n=15, fixed words = 10941075
g = [('a', 2), ('b', -11), ('a', 2), ('b', -12), ('a', 12), ('b', 3), ('a', 15), ('b', 12), ('a', -8), ('b', 9), ('a', -11), ('b', -12), ('a', -10), ('b', -11), ('a', 11)] n=15, fixed words = 9568503
g = [('b', 14), ('a', 4), ('b', -8), ('a', -4), ('b', 11), ('a', -4), ('b', -10), ('a', -15), ('b', -14), ('a', 5), ('b', 4), ('a', -9), ('b', 7), ('a', -11), ('b', 3)] n=15, fixed words = 9568503
g = [('b', 8), ('a', 10), ('b', 5), ('a', 7), ('b', -5), ('a', 9), ('b', -4), ('a', 4), ('b', -11), ('a', 10), ('b', -12), ('a', 3), ('b', 14), ('a', -9), ('b', 3)] n=15, fixed words = 9568503
g = [('b', -12), ('a', -9), ('b', -3), ('a', -5), ('b', 10), ('a', -2), ('b', -7), ('a', 4), ('b', -9), ('a', -4), ('b', -12), ('a', -9), ('b', -9), ('a', 4), ('b', -12)] n=15, fixed words = 13223169
g = [('a', 3), ('b', 14), ('a', -2), ('b', 15), ('a', -10), ('b', 4), ('a', -12), ('b', -1), ('a', -13), ('b', 6), ('a', -3), ('b', -2), ('a', 8), ('b', -6), ('a', -11)] n=15, fixed words = 11058039
g = [('b', -3), ('a', 1), ('b', -3), ('a', 1), ('b', 5), ('a', 9), ('b', 8), ('a', -1), ('b', -6), ('a', 9), ('b', 9), ('a', 15), ('b', -11), ('a', -2), ('b', -3)] n=15, fixed words = 9568503
g = [('a', -8), ('b', 13), ('a', 8), ('b', 5), ('a', -1), ('b', 9), ('a', -4), ('b', -7), ('a', 11), ('b', -3), ('a', -14), ('b', -3), ('a', 6), ('b', -4), ('a', -4)] n=15, fixed words = 11004417
g = [('a', -10), ('b', 9), ('a', -6), ('b', -3), ('a', 7), ('b', 6), ('a', -8), ('b', -6), ('a', -11), ('b', -15), ('a', 4), ('b', -6), ('a', -11), ('b', -4), ('a', 12)] n=15, fixed words = 9568503
g = [('b', 4), ('a', -1), ('b', -8), ('a', -12), ('b', 2), ('a', -12), ('b', 6), ('a', 11), ('b', -8), ('a', -14), ('b', 7), ('a', 6), ('b', -15), ('a', 11), ('b', 14)] n=15, fixed words = 9568503
g = [('b', 8), ('a', 5), ('b', -8), ('a', -15), ('b', 15), ('a', -7), ('b', 1), ('a', 4), ('b', -5), ('a', -2), ('b', 1), ('a', -12), ('b', -15), ('a', 2), ('b', -15)] n=15, fixed words = 11448540
g = [('a', 1), ('b', -6), ('a', -4), ('b', -8), ('a', -6), ('b', -11), ('a', 1), ('b', 14), ('a', -3), ('b', 11), ('a', -12), ('b', 6), ('a', 3), ('b', 1), ('a', 6)] n=15, fixed words = 9568503
