g = [('b', 2), ('a', 7), ('b', 1), ('a', 8), ('b', 8), ('a', -8), ('b', 5)] n=50, fixed words = 171803146192394079920121
g = [('a', 3), ('b', -5), ('a', 9), ('b', 1), ('a', -1), ('b', -6), ('a', 3)] n=50, fixed words = 171803146192394079920121
g = [('b', -2), ('a', -4), ('b', 7), ('a', 9), ('b', -10), ('a', -2), ('b', -9)] n=50, fixed words = 275441513449198212088686
g = [('a', 9), ('b', 5), ('a', 6), ('b', -5), ('a', -7), ('b', 2), ('a', 8)] n=50, fixed words = 171803146192394079920121
g = [('b', -4), ('a', 10), ('b', -1), ('a', 2), ('b', 2), ('a', 4), ('b', -6)] n=50, fixed words = 307217545652680653870423
g = [('b', 2), ('a', 6), ('b', 10), ('a', -4), ('b', -10), ('a', 10), ('b', -3)] n=50, fixed words = 277180199167280930325666
g = [('b', -6), ('a', -10), ('b', 6), ('a', -4), ('b', 9), ('a', -3), ('b', 4)] n=50, fixed words = 171803146192394079920121
g = [('b', -3), ('a', -9), ('b', -9), ('a', 3), ('b', -10), ('a', 9), ('b', -1)] n=50, fixed words = 278269621927473364725015
g = [('a', 8), ('b', -4), ('a', 1), ('b', 2), ('a', 10), ('b', 9), ('a', 9)] n=50, fixed words = 171803146192394079920121
g = [('b', -5), ('a', -3), ('b', 2), ('a', -2), ('b', -5), ('a', -10), ('b', -6)] n=50, fixed words = 277168508948422946099250
g = [('a', -1), ('b', -10), ('a', 9), ('b', 7), ('a', -6), ('b', -8), ('a', -10)] n=50, fixed words = 171803146192394079920121
g = [('b', 1), ('a', -9), ('b', 3), ('a', -3), ('b', 5), ('a', -4), ('b', 8)] n=50, fixed words = 171803146192394079920121
g = [('b', -8), ('a', 3), ('b', 5), ('a', -9), ('b', 8), ('a', 2), ('b', 8)] n=50, fixed words = 171803146192394079920121
g = [('a', -3), ('b', -3), ('a', 6), ('b', -10), ('a', -10), ('b', 9), ('a', -10)] n=50, fixed words = 171803146192394079920121
g = [('b', 8), ('a', -3), ('b', -1), ('a', 6), ('b', -10), ('a', 4), ('b', 5)] n=50, fixed words = 171803146192394079920121
g = [('a', 2), ('b', 8), ('a', 6), ('b', -7), ('a', -5), ('b', -8), ('a', -4)] n=50, fixed words = 171803146192394079920121
g = [('b', 1), ('a', -4), ('b', 2), ('a', -6), ('b', 6), ('a', 6), ('b', -4)] n=50, fixed words = 171803146192394079920121
g = [('b', -10), ('a', 3), ('b', -9), ('a', 6), ('b', 10), ('a', -8), ('b', 6)] n=50, fixed words = 277281001114712836687575
g = [('a', 6), ('b', 5), ('a', 1), ('b', 3), ('a', -10), ('b', -8), ('a', -8)] n=50, fixed words = 349270546446642534782454
g = [('b', -3), ('a', 2), ('b', -2), ('a', -10), ('b', 4), ('a', -1), ('b', -5)] n=50, fixed words = 455572191717901014811335
g = [('a', -3), ('b', 7), ('a', 6), ('b', 3), ('a', -3), ('b', -10), ('a', 7)] n=50, fixed words = 349361723881698304446396
g = [('a', 2), ('b', 8), ('a', -2), ('b', 2), ('a', 10), ('b', -3), ('a', 5)] n=50, fixed words = 267615327803625488733624
g = [('b', 8), ('a', 6), ('b', -6), ('a', -9), ('b', 8), ('a', 8), ('b', 5)] n=50, fixed words = 275476415634082114660395
