g = [('a', 5), ('b', 10), ('a', -6), ('b', 8), ('a', -2), ('b', 4), ('a', 5), ('b', -2), ('a', 6), ('b', -5), ('a', -10), ('b', -10), ('a', 2), ('b', 6), ('a', -2)] n=20, fixed words = 1958440401
g = [('b', -4), ('a', -9), ('b', -7), ('a', 15), ('b', -13), ('a', -7), ('b', -6), ('a', 7), ('b', -14), ('a', 5), ('b', -4), ('a', 2), ('b', 15), ('a', 10), ('b', 10)] n=20, fixed words = 1958440401
g = [('b', -3), ('a', -4), ('b', 9), ('a', 2), ('b', -11), ('a', 12), ('b', -1), ('a', -14), ('b', -9), ('a', -5), ('b', 8), ('a', 6), ('b', 15), ('a', 4), ('b', 8)] n=20, fixed words = 1958440401
g = [('b', 13), ('a', -6), ('b', 5), ('a', -4), ('b', 14), ('a', -4), ('b', -15), ('a', -1), ('b', -7), ('a', -8), ('b', 10), ('a', 5), ('b', 12), ('a', -14), ('b', -11)] n=20, fixed words = 2350403406
g = [('a', -12), ('b', -1), ('a', 13), ('b', 6), ('a', -1), ('b', -12), ('a', -13), ('b', 5), ('a', 3), ('b', -14), ('a', -4), ('b', -11), ('a', 2), ('b', -14), ('a', -12)] n=20, fixed words = 2395035648
g = [('a', -15), ('b', -9), ('a', 4), ('b', -6), ('a', -13), ('b', -14), ('a', -3), ('b', -3), ('a', 1), ('b', 6), ('a', -8), ('b', 7), ('a', -7), ('b', 14), ('a', -11)] n=20, fixed words = 1958440401
g = [('b', 8), ('a', -12), ('b', 3), ('a', 14), ('b', -7), ('a', 10), ('b', 12), ('a', -5), ('b', 5), ('a', 6), ('b', 11), ('a', -9), ('b', -7), ('a', -5), ('b', 3)] n=20, fixed words = 1958440401
g = [('b', 15), ('a', -12), ('b', 14), ('a', 14), ('b', -12), ('a', 3), ('b', 4), ('a', 2), ('b', 2), ('a', -9), ('b', -9), ('a', -1), ('b', 3), ('a', 9), ('b', 12)] n=20, fixed words = 2350403406
g = [('b', -7), ('a', 6), ('b', -11), ('a', 12), ('b', -10), ('a', 14), ('b', 13), ('a', -10), ('b', 5), ('a', 6), ('b', 2), ('a', -14), ('b', 10), ('a', 7), ('b', 9)] n=20, fixed words = 2350403406
g = [('b', 5), ('a', 12), ('b', -14), ('a', -3), ('b', 14), ('a', 3), ('b', -13), ('a', -10), ('b', -10), ('a', 5), ('b', -4), ('a', -1), ('b', -3), ('a', -8), ('b', 9)] n=20, fixed words = 1958440401
g = [('a', 9), ('b', 3), ('a', 12), ('b', 3), ('a', -11), ('b', 12), ('a', -11), ('b', -4), ('a', 15), ('b', 6), ('a', -13), ('b', -11), ('a', -5), ('b', -10), ('a', -11)] n=20, fixed words = 2366705520
