g = [('b', -3), ('a', -4), ('b', -6), ('a', 8), ('b', 4), ('a', -8), ('b', 8)] n=15, fixed words = 11008791
g = [('b', 7), ('a', -7), ('b', -10), ('a', 5), ('b', -8), ('a', -9), ('b', 3)] n=15, fixed words = 9568503
g = [('b', 8), ('a', -3), ('b', -4), ('a', 7), ('b', 7), ('a', 1), ('b', 3)] n=15, fixed words = 9568503
g = [('a', -7), ('b', 8), ('a', 10), ('b', 5), ('a', -3), ('b', 8), ('a', -8)] n=15, fixed words = 11039571
g = [('a', 4), ('b', -3), ('a', -6), ('b', -5), ('a', 7), ('b', -2), ('a', -9)] n=15, fixed words = 9568503
g = [('b', 6), ('a', -1), ('b', -6), ('a', -5), ('b', -2), ('a', -5), ('b', 7)] n=15, fixed words = 9568503
g = [('b', -9), ('a', -10), ('b', 1), ('a', 3), ('b', 10), ('a', -7), ('b', 10)] n=15, fixed words = 10990323
g = [('a', -10), ('b', -10), ('a', 9), ('b', -6), ('a', 5), ('b', 8), ('a', -2)] n=15, fixed words = 9568503
g = [('b', -4), ('a', 6), ('b', -4), ('a', 10), ('b', 8), ('a', 6), ('b', -8)] n=15, fixed words = 9568503
g = [('a', 7), ('b', -8), ('a', 5), ('b', -2), ('a', 10), ('b', 10), ('a', -3)] n=15, fixed words = 11619855
g = [('b', -10), ('a', -2), ('b', -6), ('a', 1), ('b', 7), ('a', -2), ('b', -4)] n=15, fixed words = 10990323
g = [('a', 7), ('b', -3), ('a', -7), ('b', -8), ('a', 3), ('b', 2), ('a', -9)] n=15, fixed words = 13277034
g = [('a', 6), ('b', 6), ('a', 1), ('b', 5), ('a', -6), ('b', -6), ('a', -9)] n=15, fixed words = 9568503
g = [('b', 7), ('a', 3), ('b', -9), ('a', 1), ('b', -4), ('a', 10), ('b', -9)] n=15, fixed words = 11008791
g = [('b', -7), ('a', 9), ('b', -7), ('a', 7), ('b', -8), ('a', 2), ('b', 1)] n=15, fixed words = 13069431
g = [('b', -6), ('a', -7), ('b', -9), ('a', -2), ('b', 9), ('a', 7), ('b', -9)] n=15, fixed words = 11076507
g = [('b', -6), ('a', 10), ('b', 7), ('a', 5), ('b', 10), ('a', -8), ('b', 3)] n=15, fixed words = 9568503
g = [('a', -8), ('b', -1), ('a', 7), ('b', -5), ('a', 10), ('b', 3), ('a', -7)] n=15, fixed words = 11008791
g = [('a', -3), ('b', 1), ('a', 7), ('b', -7), ('a', 5), ('b', -1), ('a', 6)] n=15, fixed words = 11076264
g = [('b', -1), ('a', -8), ('b', -6), ('a', 7), ('b', 8), ('a', 10), ('b', -9)] n=15, fixed words = 11469114
g = [('b', 1), ('a', 2), ('b', -2), ('a', 6), ('b', -4), ('a', -3), ('b', 4)] n=15, fixed words = 9568503
g = [('a', -1), ('b', 4), ('a', 4), ('b', -10), ('a', 7), ('b', 6), ('a', 10)] n=15, fixed words = 11684628
