g = [('b', 5), ('a', 4), ('b', 10), ('a', 6), ('b', -6), ('a', -3), ('b', -9)] n=100, fixed words = 121680204282294316135039581058970144843714154729
g = [('b', -2), ('a', -6), ('b', 10), ('a', 7), ('b', 8), ('a', -9), ('b', -4)] n=100, fixed words = 75189708598561433785298705390161458668500797747
g = [('b', 7), ('a', 10), ('b', 10), ('a', -4), ('b', -3), ('a', 8), ('b', -8)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('a', -2), ('b', -5), ('a', -7), ('b', 7), ('a', 5), ('b', -6), ('a', 7)] n=100, fixed words = 70779550860673920256738696973375145533392231908
g = [('b', 3), ('a', -8), ('b', 2), ('a', -5), ('b', -6), ('a', -2), ('b', 8)] n=100, fixed words = 70779550860673920256738696973375145533392231908
g = [('b', 1), ('a', -3), ('b', -4), ('a', 6), ('b', 3), ('a', -3), ('b', 5)] n=100, fixed words = 123817379072777432700641899802057415697729890237
g = [('b', -6), ('a', 3), ('b', 9), ('a', -8), ('b', 1), ('a', 10), ('b', 4)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -3), ('b', 10), ('a', -4), ('b', 6), ('a', 4), ('b', -1), ('a', -1)] n=100, fixed words = 76802800670348996750924455262452450732706036100
g = [('b', -8), ('a', -10), ('b', -3), ('a', 4), ('b', 8), ('a', -5), ('b', 5)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -6), ('a', -10), ('b', -1), ('a', -9), ('b', -10), ('a', -4), ('b', -7)] n=100, fixed words = 71774462711922758298891956587648897685031552180
g = [('a', 10), ('b', -7), ('a', -3), ('b', -1), ('a', 8), ('b', 4), ('a', -2)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 7), ('b', 6), ('a', -1), ('b', -9), ('a', 1), ('b', -2), ('a', 6)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -9), ('a', -3), ('b', -2), ('a', 7), ('b', -9), ('a', 4), ('b', -7)] n=100, fixed words = 114550363652538473339058354731234103507271794696
g = [('a', 10), ('b', 7), ('a', 7), ('b', 10), ('a', 3), ('b', -3), ('a', -10)] n=100, fixed words = 29763262633199482886345519360120838067631398155
