g | n1 | w1g | n2 | w2g
[('b', -3), ('a', -1), ('b', -3), ('a', 5), ('b', 5)] | 34 | 0012220200221212220201122111112201 | 4 | 0000
[('b', 2), ('a', 5), ('b', 1), ('a', -5), ('b', -2)] | 34 | 0011220101122111022010112212112202 | 4 | 1010
[('b', -1), ('a', -2), ('b', -1), ('a', -1), ('b', -4)] | 33 | 001022020122121022020022121102202 | 6 | 000000
[('b', -3), ('a', 4), ('b', -5), ('a', -5), ('b', -5)] | 36 | 001222020102211111220201122121112202 | 4 | 0000
[('b', 1), ('a', 3), ('b', 4), ('a', 4), ('b', -3)] | 34 | 0010220102221111022010102211122202 | 4 | 0000
[('b', -2), ('a', -5), ('b', 5), ('a', 2), ('b', -2)] | 34 | 0011220201122121112201012211112202 | 4 | 1010
[('a', -4), ('b', 1), ('a', 2), ('b', -2), ('a', -5)] | 34 | 0001022121022010122111122020112212 | 4 | 0000
[('b', 1), ('a', 1), ('b', 1), ('a', -4), ('b', 3)] | 33 | 001022010022111022010102212122201 | 4 | 1010
[('b', -4), ('a', 2), ('b', 4), ('a', 1), ('b', -2)] | 34 | 0011022020122111102201002211112202 | 4 | 1010
[('b', 4), ('a', 3), ('b', 2), ('a', -1), ('b', -3)] | 33 | 001102201022211112201002212122202 | 4 | 0000
[('a', 2), ('b', -5), ('a', 5), ('b', 4), ('a', -4)] | 36 | 000122111112202011221111022010102212 | 4 | 1010
[('a', 4), ('b', 5), ('a', -1), ('b', 3), ('a', 1)] | 34 | 0001022111112201002212122201002211 | 4 | 0000
[('a', -1), ('b', -3), ('a', 2), ('b', -5), ('a', 5)] | 34 | 0000221212220201221111122020112211 | 4 | 1010
[('b', 1), ('a', -2), ('b', 3), ('a', -3), ('b', -2)] | 32 | 00102201012212122201022212112202 | 4 | 0000
[('b', 1), ('a', -5), ('b', 1), ('a', 4), ('b', -1)] | 34 | 0010220101122121022010102211102202 | 4 | 0000
[('a', 1), ('b', -5), ('a', 5), ('b', 5), ('a', 3)] | 35 | 00002211111220201122111112201022211 | 8 | 00000000
[('a', 3), ('b', 5), ('a', 4), ('b', 4), ('a', -3)] | 35 | 00022211111220101022111102201022212 | 4 | 0000
[('b', -5), ('a', -4), ('b', -1), ('a', -5), ('b', 2)] | 35 | 00111220201022121022020112212112201 | 4 | 1010
[('a', 5), ('b', -2), ('a', 2), ('b', 5), ('a', 4)] | 35 | 00011221111220201221111122010102211 | 4 | 0000
[('b', -4), ('a', 3), ('b', 5), ('a', 5), ('b', -2)] | 35 | 00110220202221111122010112211112202 | 4 | 0000
[('b', 2), ('a', 1), ('b', 5), ('a', 1), ('b', 1)] | 33 | 001122010022111112201002211102201 | 4 | 0000
[('a', 5), ('b', -4), ('a', -5), ('b', 3), ('a', -4)] | 36 | 000112211110220201122121222010102212 | 4 | 0000
[('a', -2), ('b', -1), ('a', -1), ('b', 1), ('a', -5)] | 33 | 000122121022020022121022010112212 | 4 | 0000
[('b', -5), ('a', -2), ('b', 4), ('a', 2), ('b', -4)] | 35 | 00111220201221211022010122111102202 | 4 | 1010
[('a', 2), ('b', -1), ('a', -3), ('b', 3), ('a', 1)] | 32 | 00012211102202022212122201002211 | 4 | 1010
[('a', -4), ('b', -5), ('a', 4), ('b', -5), ('a', 2)] | 36 | 000102212111220201022111112202012211 | 4 | 0000
[('a', -1), ('b', -5), ('a', -1), ('b', 5), ('a', 3)] | 34 | 0000221211122020022121112201022211 | 4 | 0000
[('a', -1), ('b', -5), ('a', 1), ('b', -5), ('a', 3)] | 34 | 0000221211122020022111112202022211 | 4 | 1010
[('b', -3), ('a', -3), ('b', 3), ('a', -4), ('b', -3)] | 33 | 001222020222121222010102212122202 | 4 | 0000
[('a', -4), ('b', -5), ('a', 2), ('b', -4), ('a', 5)] | 36 | 000102212111220201221111022020112211 | 6 | 000000
[('b', -4), ('a', 5), ('b', 4), ('a', 2), ('b', 2)] | 35 | 00110220201122111102201012211112201 | 4 | 0000
[('a', -1), ('b', 4), ('a', -2), ('b', -3), ('a', -4)] | 34 | 0000221211022010122121222020102212 | 4 | 0000
[('b', 2), ('a', -5), ('b', -2), ('a', 1), ('b', -1)] | 33 | 001122010112212112202002211102202 | 4 | 0000
[('b', 3), ('a', -2), ('b', 5), ('a', -1), ('b', -3)] | 33 | 001222010122121112201002212122202 | 4 | 1010
[('b', 3), ('a', -4), ('b', -1), ('a', -2), ('b', -1)] | 33 | 001222010102212102202012212102202 | 4 | 1010
[('b', -2), ('a', -2), ('b', 4), ('a', -3), ('b', -1)] | 33 | 001122020122121102201022212102202 | 4 | 0000
[('a', 4), ('b', 1), ('a', 1), ('b', 3), ('a', 5)] | 34 | 0001022111022010022111222010112211 | 4 | 0000
[('a', 2), ('b', 4), ('a', -3), ('b', 2), ('a', 5)] | 34 | 0001221111022010222121122010112211 | 4 | 0000
[('b', 2), ('a', -5), ('b', -3), ('a', -1), ('b', 2)] | 33 | 001122010112212122202002212112201 | 4 | 1010
[('b', 1), ('a', 5), ('b', 4), ('a', 3), ('b', 5)] | 35 | 00102201011221111022010222111112201 | 4 | 0000
[('a', 5), ('b', -1), ('a', 4), ('b', 5), ('a', 5)] | 36 | 000112211102202010221111122010112211 | 4 | 0000
[('a', 2), ('b', -4), ('a', 4), ('b', 1), ('a', 2)] | 34 | 0001221111022020102211102201012211 | 4 | 0000
[('a', -4), ('b', -1), ('a', 5), ('b', 1), ('a', -4)] | 35 | 00010221210220201122111022010102212 | 6 | 000000
[('a', 2), ('b', -3), ('a', 4), ('b', 2), ('a', 2)] | 33 | 000122111222020102211112201012211 | 4 | 0000
[('a', 1), ('b', -4), ('a', 4), ('b', 4), ('a', 2)] | 35 | 00002211110220201022111102201012211 | 4 | 0000
[('a', -4), ('b', -1), ('a', 4), ('b', 1), ('a', -2)] | 34 | 0001022121022020102211102201012212 | 4 | 0000
[('a', -5), ('b', -1), ('a', 4), ('b', -3), ('a', 5)] | 35 | 00011221210220201022111222020112211 | 4 | 0000
[('a', -4), ('b', -5), ('a', 4), ('b', -4), ('a', 2)] | 36 | 000102212111220201022111102202012211 | 4 | 0000
[('b', -4), ('a', -3), ('b', -4), ('a', -5), ('b', 1)] | 35 | 00110220202221211022020112212102201 | 4 | 0000
[('b', 4), ('a', -4), ('b', -1), ('a', -1), ('b', 2)] | 34 | 0011022010102212102202002212112201 | 4 | 0000
[('a', 1), ('b', -2), ('a', 3), ('b', 5), ('a', 4)] | 34 | 0000221111220202221111122010102211 | 4 | 0000
[('b', -1), ('a', -5), ('b', 4), ('a', -1), ('b', -1)] | 34 | 0010220201122121102201002212102202 | 4 | 1010
[('a', -5), ('b', -5), ('a', 4), ('b', 3), ('a', 4)] | 36 | 000112212111220201022111222010102211 | 4 | 1010
[('a', 4), ('b', 1), ('a', 5), ('b', -2), ('a', 3)] | 34 | 0001022111022010112211112202022211 | 4 | 1010
[('b', 4), ('a', 4), ('b', 4), ('a', 1), ('b', 4)] | 36 | 001102201010221111022010022111102201 | 4 | 0000
[('b', -2), ('a', 5), ('b', -3), ('a', 5), ('b', -3)] | 34 | 0011220201122111222020112211122202 | 4 | 0000
[('b', -3), ('a', 2), ('b', -1), ('a', 1), ('b', -2)] | 32 | 00122202012211102202002211112202 | 6 | 000000
[('a', -3), ('b', -5), ('a', -4), ('b', -3), ('a', 2)] | 34 | 0002221211122020102212122202012211 | 4 | 0000
[('a', -2), ('b', -3), ('a', -1), ('b', 4), ('a', 2)] | 33 | 000122121222020022121102201012211 | 4 | 0000
[('b', -2), ('a', 1), ('b', -4), ('a', -4), ('b', -3)] | 34 | 0011220200221111022020102212122202 | 6 | 000000
[('a', -3), ('b', -4), ('a', -3), ('b', 4), ('a', 4)] | 35 | 00022212110220202221211022010102211 | 4 | 0000
[('b', -3), ('a', -2), ('b', 3), ('a', -2), ('b', -2)] | 32 | 00122202012212122201012212112202 | 4 | 0000
[('a', -1), ('b', -5), ('a', -1), ('b', -2), ('a', -4)] | 34 | 0000221211122020022121122020102212 | 4 | 1010
[('b', -2), ('a', 2), ('b', 3), ('a', -2), ('b', 4)] | 33 | 001122020122111222010122121102201 | 4 | 1010
[('b', 4), ('a', 1), ('b', -2), ('a', 1), ('b', 1)] | 33 | 001102201002211112202002211102201 | 4 | 0000
[('b', 3), ('a', -4), ('b', 4), ('a', -3), ('b', -3)] | 34 | 0012220101022121102201022212122202 | 4 | 0000
[('b', 3), ('a', -3), ('b', -4), ('a', -2), ('b', -1)] | 33 | 001222010222121102202012212102202 | 4 | 0000
[('b', 3), ('a', 1), ('b', 3), ('a', 1), ('b', -5)] | 33 | 001222010022111222010022111112202 | 4 | 0000
[('b', -1), ('a', 2), ('b', 5), ('a', -5), ('b', -1)] | 34 | 0010220201221111122010112212102202 | 6 | 000000
[('a', 1), ('b', -1), ('a', 5), ('b', 3), ('a', 3)] | 33 | 000022111022020112211122201022211 | 4 | 1010
[('b', -2), ('a', 3), ('b', -1), ('a', 5), ('b', -1)] | 33 | 001122020222111022020112211102202 | 4 | 0000
[('b', 4), ('a', 2), ('b', 4), ('a', 3), ('b', -4)] | 35 | 00110220101221111022010222111102202 | 4 | 0000
[('b', 5), ('a', 2), ('b', -3), ('a', 1), ('b', 4)] | 34 | 0011122010122111222020022111102201 | 6 | 000000
[('a', 1), ('b', 5), ('a', 3), ('b', 3), ('a', 2)] | 33 | 000022111112201022211122201012211 | 4 | 1010
[('a', -5), ('b', -3), ('a', 3), ('b', 3), ('a', -1)] | 33 | 000112212122202022211122201002212 | 6 | 000000
[('a', -3), ('b', 3), ('a', -4), ('b', 4), ('a', -4)] | 35 | 00022212122201010221211022010102212 | 4 | 0000
[('b', 5), ('a', -2), ('b', 2), ('a', -5), ('b', 4)] | 35 | 00111220101221211220101122121102201 | 4 | 0000
[('a', 1), ('b', -1), ('a', 3), ('b', 2), ('a', -1)] | 32 | 00002211102202022211112201002212 | 4 | 1010
[('b', -5), ('a', -4), ('b', 3), ('a', 4), ('b', -2)] | 35 | 00111220201022121222010102211112202 | 4 | 1010
[('b', 3), ('a', -1), ('b', 4), ('a', 4), ('b', 1)] | 34 | 0012220100221211022010102211102201 | 4 | 1010
[('a', 5), ('b', -3), ('a', 2), ('b', -5), ('a', 3)] | 34 | 0001122111222020122111112202022211 | 4 | 0000
[('b', 4), ('a', -1), ('b', -2), ('a', -3), ('b', -2)] | 33 | 001102201002212112202022212112202 | 4 | 0000
[('a', 1), ('b', 3), ('a', 5), ('b', -1), ('a', -1)] | 33 | 000022111222010112211102202002212 | 4 | 0000
[('a', 1), ('b', 2), ('a', 1), ('b', -3), ('a', -2)] | 32 | 00002211112201002211122202012212 | 4 | 1010
[('b', 5), ('a', 1), ('b', -1), ('a', 4), ('b', 5)] | 35 | 00111220100221110220201022111112201 | 4 | 0000
[('b', -1), ('a', 5), ('b', 3), ('a', 2), ('b', 5)] | 34 | 0010220201122111222010122111112201 | 4 | 0000
[('b', -3), ('a', -3), ('b', 4), ('a', -1), ('b', -2)] | 33 | 001222020222121102201002212112202 | 4 | 0000
[('a', 5), ('b', 1), ('a', 5), ('b', 2), ('a', 2)] | 34 | 0001122111022010112211112201012211 | 6 | 000000
[('b', 1), ('a', -4), ('b', 5), ('a', -2), ('b', -5)] | 35 | 00102201010221211122010122121112202 | 4 | 1010
[('a', -5), ('b', 1), ('a', 4), ('b', 1), ('a', 2)] | 34 | 0001122121022010102211102201012211 | 4 | 0000
[('b', 4), ('a', -3), ('b', -3), ('a', -2), ('b', -5)] | 34 | 0011022010222121222020122121112202 | 4 | 0000
[('b', -2), ('a', 4), ('b', -2), ('a', 3), ('b', 4)] | 34 | 0011220201022111122020222111102201 | 4 | 0000
[('a', -4), ('b', 3), ('a', -2), ('b', -4), ('a', -3)] | 34 | 0001022121222010122121102202022212 | 4 | 1010
[('a', -2), ('b', -2), ('a', -1), ('b', -3), ('a', -3)] | 32 | 00012212112202002212122202022212 | 4 | 1010
[('a', 2), ('b', 3), ('a', -5), ('b', -1), ('a', 4)] | 34 | 0001221112220101122121022020102211 | 4 | 0000
[('a', 1), ('b', -4), ('a', -1), ('b', 5), ('a', 3)] | 34 | 0000221111022020022121112201022211 | 4 | 1010
[('a', 5), ('b', -4), ('a', 4), ('b', 5), ('a', -3)] | 36 | 000112211110220201022111112201022212 | 4 | 1010
[('b', -5), ('a', 4), ('b', 5), ('a', 1), ('b', -4)] | 36 | 001112202010221111122010022111102202 | 4 | 0000
[('b', 3), ('a', -4), ('b', 4), ('a', 2), ('b', -5)] | 35 | 00122201010221211022010122111112202 | 4 | 0000
[('b', -2), ('a', -1), ('b', -3), ('a', -5), ('b', 4)] | 34 | 0011220200221212220201122121102201 | 4 | 1010
[('a', -4), ('b', -4), ('a', 1), ('b', -1), ('a', -2)] | 34 | 0001022121102202002211102202012212 | 4 | 0000
[('a', 2), ('b', -2), ('a', -4), ('b', 4), ('a', -3)] | 34 | 0001221111220201022121102201022212 | 4 | 0000
[('b', 4), ('a', 5), ('b', -3), ('a', 4), ('b', -3)] | 35 | 00110220101122111222020102211122202 | 4 | 1010
[('a', -1), ('b', 3), ('a', 1), ('b', 3), ('a', -2)] | 32 | 00002212122201002211122201012212 | 4 | 0000
[('a', -2), ('b', -3), ('a', -3), ('b', 1), ('a', 4)] | 33 | 000122121222020222121022010102211 | 4 | 0000
[('a', -3), ('b', 2), ('a', 3), ('b', -3), ('a', 1)] | 32 | 00022212112201022211122202002211 | 4 | 0000
[('a', -1), ('b', 2), ('a', 5), ('b', 1), ('a', -5)] | 34 | 0000221211220101122111022010112212 | 4 | 0000
[('b', -4), ('a', -1), ('b', -3), ('a', 3), ('b', 2)] | 33 | 001102202002212122202022211112201 | 4 | 0000
[('a', -3), ('b', 4), ('a', -3), ('b', 3), ('a', -3)] | 33 | 000222121102201022212122201022212 | 4 | 1010
[('a', 3), ('b', 2), ('a', 2), ('b', -4), ('a', 1)] | 33 | 000222111122010122111102202002211 | 4 | 1010
[('a', 1), ('b', -3), ('a', -1), ('b', 4), ('a', 2)] | 33 | 000022111222020022121102201012211 | 4 | 0000
[('a', -2), ('b', -4), ('a', 3), ('b', 4), ('a', -5)] | 35 | 00012212110220202221111022010112212 | 4 | 0000
[('a', 1), ('b', -5), ('a', 2), ('b', 3), ('a', 4)] | 34 | 0000221111122020122111222010102211 | 4 | 0000
[('b', -5), ('a', -1), ('b', 2), ('a', 3), ('b', -3)] | 33 | 001112202002212112201022211122202 | 4 | 0000
[('b', -1), ('a', 2), ('b', 1), ('a', 3), ('b', -3)] | 32 | 00102202012211102201022211122202 | 4 | 0000
[('a', -3), ('b', -2), ('a', -4), ('b', -4), ('a', -3)] | 34 | 0002221211220201022121102202022212 | 4 | 0000
[('a', -4), ('b', -5), ('a', -1), ('b', 2), ('a', -4)] | 35 | 00010221211122020022121122010102212 | 6 | 101010
[('a', -2), ('b', -1), ('a', 5), ('b', -1), ('a', 5)] | 34 | 0001221210220201122111022020112211 | 4 | 0000
[('b', -4), ('a', 2), ('b', 3), ('a', -3), ('b', 3)] | 33 | 001102202012211122201022212122201 | 4 | 0000
[('a', 4), ('b', 3), ('a', -5), ('b', 3), ('a', -3)] | 34 | 0001022111222010112212122201022212 | 4 | 0000
[('b', 1), ('a', -4), ('b', -1), ('a', 1), ('b', 5)] | 34 | 0010220101022121022020022111112201 | 4 | 1010
[('a', -1), ('b', -2), ('a', 5), ('b', -1), ('a', 1)] | 33 | 000022121122020112211102202002211 | 4 | 0000
[('b', 5), ('a', 3), ('b', 5), ('a', -1), ('b', 2)] | 34 | 0011122010222111112201002212112201 | 4 | 0000
[('b', 5), ('a', 3), ('b', -3), ('a', -2), ('b', 4)] | 34 | 0011122010222111222020122121102201 | 4 | 0000
[('b', 3), ('a', 4), ('b', -2), ('a', 1), ('b', 3)] | 33 | 001222010102211112202002211122201 | 4 | 0000
[('b', -4), ('a', 5), ('b', -3), ('a', 5), ('b', 5)] | 36 | 001102202011221112220201122111112201 | 4 | 0000
[('b', 3), ('a', 5), ('b', -1), ('a', -5), ('b', 5)] | 35 | 00122201011221110220201122121112201 | 4 | 1010
[('b', 4), ('a', -3), ('b', -3), ('a', -3), ('b', -2)] | 33 | 001102201022212122202022212112202 | 4 | 1010
[('b', 4), ('a', -5), ('b', 2), ('a', -5), ('b', -2)] | 35 | 00110220101122121122010112212112202 | 4 | 0000
[('a', 1), ('b', -2), ('a', -1), ('b', -4), ('a', 2)] | 33 | 000022111122020022121102202012211 | 4 | 0000
[('a', 1), ('b', 4), ('a', -5), ('b', -4), ('a', 2)] | 35 | 00002211110220101122121102202012211 | 4 | 0000
[('a', 2), ('b', 2), ('a', -2), ('b', -5), ('a', 3)] | 33 | 000122111122010122121112202022211 | 6 | 000000
[('b', -2), ('a', -5), ('b', -5), ('a', -1), ('b', -4)] | 35 | 00112202011221211122020022121102202 | 4 | 1010
[('a', -1), ('b', 4), ('a', 3), ('b', -3), ('a', -4)] | 34 | 0000221211022010222111222020102212 | 4 | 0000
[('b', -3), ('a', 1), ('b', 2), ('a', -3), ('b', 3)] | 32 | 00122202002211112201022212122201 | 4 | 0000
[('a', -1), ('b', -1), ('a', -4), ('b', 1), ('a', 4)] | 34 | 0000221210220201022121022010102211 | 4 | 0000
[('a', -2), ('b', -3), ('a', -2), ('b', -5), ('a', -4)] | 34 | 0001221212220201221211122020102212 | 4 | 0000
[('b', -2), ('a', 4), ('b', 1), ('a', 1), ('b', 1)] | 33 | 001122020102211102201002211102201 | 4 | 0000
[('a', -2), ('b', -1), ('a', 5), ('b', -3), ('a', -1)] | 33 | 000122121022020112211122202002212 | 4 | 0000
[('b', 2), ('a', -1), ('b', -2), ('a', 3), ('b', -4)] | 33 | 001122010022121122020222111102202 | 4 | 0000
[('a', -2), ('b', -3), ('a', 1), ('b', -3), ('a', -3)] | 32 | 00012212122202002211122202022212 | 4 | 0000
[('a', 4), ('b', 5), ('a', -2), ('b', 3), ('a', 5)] | 35 | 00010221111122010122121222010112211 | 4 | 0000
[('a', 2), ('b', 2), ('a', 1), ('b', -2), ('a', -5)] | 33 | 000122111122010022111122020112212 | 4 | 0000
[('a', 3), ('b', -5), ('a', -3), ('b', -3), ('a', 2)] | 33 | 000222111112202022212122202012211 | 4 | 0000
[('b', -2), ('a', 1), ('b', 4), ('a', 3), ('b', -2)] | 33 | 001122020022111102201022211112202 | 4 | 0000
[('b', -5), ('a', 1), ('b', 2), ('a', -4), ('b', 4)] | 35 | 00111220200221111220101022121102201 | 4 | 1010
[('a', -1), ('b', -1), ('a', 3), ('b', -5), ('a', 5)] | 34 | 0000221210220202221111122020112211 | 4 | 0000
[('b', -2), ('a', -4), ('b', 2), ('a', 4), ('b', -2)] | 34 | 0011220201022121122010102211112202 | 4 | 1010
[('b', -4), ('a', -4), ('b', 2), ('a', -2), ('b', -3)] | 34 | 0011022020102212112201012212122202 | 4 | 1010
[('b', -3), ('a', -5), ('b', 4), ('a', 4), ('b', 2)] | 35 | 00122202011221211022010102211112201 | 4 | 0000
[('b', 2), ('a', -1), ('b', 4), ('a', 1), ('b', 3)] | 33 | 001122010022121102201002211122201 | 8 | 00201010
[('b', -2), ('a', 4), ('b', -3), ('a', 3), ('b', -2)] | 33 | 001122020102211122202022211112202 | 4 | 0000
[('b', 4), ('a', -4), ('b', 5), ('a', 5), ('b', 2)] | 36 | 001102201010221211122010112211112201 | 4 | 0000
[('b', -3), ('a', -3), ('b', 1), ('a', -5), ('b', -2)] | 33 | 001222020222121022010112212112202 | 4 | 0000
[('b', 3), ('a', -5), ('b', -5), ('a', -4), ('b', 1)] | 35 | 00122201011221211122020102212102201 | 4 | 1010
[('a', -5), ('b', -5), ('a', 5), ('b', -1), ('a', 5)] | 36 | 000112212111220201122111022020112211 | 4 | 0000
[('a', 5), ('b', -1), ('a', -1), ('b', 1), ('a', 3)] | 33 | 000112211102202002212102201022211 | 4 | 0000
[('b', 2), ('a', -4), ('b', 5), ('a', 2), ('b', -2)] | 34 | 0011220101022121112201012211112202 | 4 | 0000
[('b', -5), ('a', 2), ('b', 2), ('a', 4), ('b', 3)] | 34 | 0011122020122111122010102211122201 | 6 | 000000
[('a', -4), ('b', -4), ('a', -5), ('b', -5), ('a', 3)] | 36 | 000102212110220201122121112202022211 | 6 | 000000
[('b', 1), ('a', 3), ('b', 2), ('a', 3), ('b', -3)] | 32 | 00102201022211112201022211122202 | 6 | 000000
[('a', -5), ('b', -2), ('a', -1), ('b', 4), ('a', 4)] | 35 | 00011221211220200221211022010102211 | 4 | 0000
[('b', 2), ('a', 5), ('b', 4), ('a', -5), ('b', -2)] | 35 | 00112201011221111022010112212112202 | 4 | 1010
[('a', 3), ('b', -3), ('a', -2), ('b', -1), ('a', -3)] | 32 | 00022211122202012212102202022212 | 4 | 0000
[('b', -5), ('a', 3), ('b', -4), ('a', -4), ('b', 5)] | 36 | 001112202022211110220201022121112201 | 4 | 0000
[('a', 3), ('b', 3), ('a', -2), ('b', 3), ('a', -4)] | 33 | 000222111222010122121222010102212 | 6 | 000000
[('a', -5), ('b', -5), ('a', -1), ('b', -2), ('a', 1)] | 34 | 0001122121112202002212112202002211 | 4 | 0000
[('a', -5), ('b', -1), ('a', -2), ('b', -3), ('a', 3)] | 33 | 000112212102202012212122202022211 | 4 | 0000
[('a', -4), ('b', 4), ('a', -3), ('b', 5), ('a', -2)] | 35 | 00010221211022010222121112201012212 | 8 | 00000000
[('b', -1), ('a', 1), ('b', -5), ('a', 1), ('b', -3)] | 33 | 001022020022111112202002211122202 | 4 | 0000
[('b', -3), ('a', 3), ('b', 1), ('a', 1), ('b', 3)] | 32 | 00122202022211102201002211122201 | 4 | 0000
[('b', 4), ('a', 2), ('b', -4), ('a', -3), ('b', -1)] | 34 | 0011022010122111102202022212102202 | 4 | 0000
[('a', -5), ('b', -5), ('a', -5), ('b', 5), ('a', -1)] | 36 | 000112212111220201122121112201002212 | 4 | 0000
[('a', 1), ('b', -2), ('a', -4), ('b', -2), ('a', -4)] | 34 | 0000221111220201022121122020102212 | 4 | 0000
[('a', 1), ('b', 1), ('a', -3), ('b', 2), ('a', -4)] | 33 | 000022111022010222121122010102212 | 6 | 000000
[('b', -2), ('a', -5), ('b', 2), ('a', 5), ('b', 4)] | 35 | 00112202011221211220101122111102201 | 4 | 1010
[('b', 1), ('a', 3), ('b', -3), ('a', 5), ('b', 4)] | 34 | 0010220102221112220201122111102201 | 4 | 0000
[('b', -5), ('a', -3), ('b', -1), ('a', -2), ('b', -4)] | 34 | 0011122020222121022020122121102202 | 4 | 0000
[('a', -3), ('b', -2), ('a', -5), ('b', -4), ('a', 2)] | 34 | 0002221211220201122121102202012211 | 6 | 000000
[('b', -5), ('a', 3), ('b', -4), ('a', -5), ('b', -3)] | 35 | 00111220202221111022020112212122202 | 4 | 0000
[('b', 3), ('a', -2), ('b', -5), ('a', 1), ('b', 2)] | 33 | 001222010122121112202002211112201 | 4 | 0000
[('a', 5), ('b', -1), ('a', -4), ('b', -3), ('a', -4)] | 35 | 00011221110220201022121222020102212 | 4 | 1010
[('a', -1), ('b', 1), ('a', 1), ('b', 2), ('a', -3)] | 32 | 00002212102201002211112201022212 | 6 | 000000
[('b', 2), ('a', -1), ('b', -5), ('a', -5), ('b', 4)] | 35 | 00112201002212111220201122121102201 | 4 | 1010
[('a', -3), ('b', -2), ('a', -2), ('b', 4), ('a', 1)] | 33 | 000222121122020122121102201002211 | 4 | 0000
[('a', 4), ('b', -1), ('a', -4), ('b', -4), ('a', 1)] | 35 | 00010221110220201022121102202002211 | 4 | 0000
[('a', -2), ('b', -3), ('a', 2), ('b', -4), ('a', -3)] | 33 | 000122121222020122111102202022212 | 4 | 1010
[('a', -5), ('b', -3), ('a', -3), ('b', 1), ('a', -5)] | 34 | 0001122121222020222121022010112212 | 4 | 0000
[('a', 4), ('b', -5), ('a', 5), ('b', -1), ('a', 5)] | 36 | 000102211111220201122111022020112211 | 4 | 0000
[('b', 2), ('a', 5), ('b', -3), ('a', 2), ('b', 4)] | 34 | 0011220101122111222020122111102201 | 4 | 0000
[('a', 3), ('b', -4), ('a', 4), ('b', -1), ('a', -3)] | 34 | 0002221111022020102211102202022212 | 4 | 0000
[('b', -2), ('a', 2), ('b', -2), ('a', -3), ('b', -1)] | 32 | 00112202012211112202022212102202 | 4 | 0000
[('a', 2), ('b', -1), ('a', 4), ('b', -1), ('a', 3)] | 33 | 000122111022020102211102202022211 | 4 | 1010
[('a', -4), ('b', 1), ('a', -1), ('b', -4), ('a', 5)] | 35 | 00010221210220100221211022020112211 | 6 | 101010
[('b', 2), ('a', 4), ('b', -1), ('a', -4), ('b', 4)] | 35 | 00112201010221110220201022121102201 | 4 | 1010
[('b', -1), ('a', -2), ('b', 4), ('a', 5), ('b', -2)] | 34 | 0010220201221211022010112211112202 | 4 | 1010
[('a', -3), ('b', 5), ('a', -2), ('b', 4), ('a', 5)] | 35 | 00022212111220101221211022010112211 | 8 | 00201010
[('b', 4), ('a', -4), ('b', -4), ('a', -1), ('b', -1)] | 35 | 00110220101022121102202002212102202 | 4 | 0000
[('a', -1), ('b', 2), ('a', 3), ('b', -2), ('a', -5)] | 33 | 000022121122010222111122020112212 | 6 | 000000
[('b', -4), ('a', 3), ('b', 3), ('a', 2), ('b', -3)] | 33 | 001102202022211122201012211122202 | 4 | 0000
[('a', -4), ('b', 4), ('a', 3), ('b', 5), ('a', 3)] | 35 | 00010221211022010222111112201022211 | 4 | 0000
[('b', -4), ('a', 4), ('b', -5), ('a', 5), ('b', -1)] | 36 | 001102202010221111122020112211102202 | 4 | 1010
[('b', -3), ('a', 2), ('b', 1), ('a', 1), ('b', -3)] | 32 | 00122202012211102201002211122202 | 4 | 1010
[('b', 2), ('a', -3), ('b', 5), ('a', 3), ('b', -1)] | 33 | 001122010222121112201022211102202 | 6 | 101010
[('a', -4), ('b', 4), ('a', -1), ('b', 4), ('a', 5)] | 36 | 000102212110220100221211022010112211 | 4 | 1010
[('b', 5), ('a', 2), ('b', 4), ('a', -5), ('b', 1)] | 35 | 00111220101221111022010112212102201 | 4 | 1010
[('b', -1), ('a', -5), ('b', 3), ('a', 3), ('b', 3)] | 33 | 001022020112212122201022211122201 | 4 | 0000
[('b', 5), ('a', -3), ('b', -5), ('a', 3), ('b', 2)] | 34 | 0011122010222121112202022211112201 | 4 | 1010
[('b', 5), ('a', 1), ('b', -5), ('a', 3), ('b', -2)] | 34 | 0011122010022111112202022211112202 | 4 | 0000
[('a', 4), ('b', 2), ('a', 3), ('b', -1), ('a', 1)] | 33 | 000102211112201022211102202002211 | 4 | 0000
[('a', 1), ('b', -3), ('a', 3), ('b', 4), ('a', 3)] | 33 | 000022111222020222111102201022211 | 4 | 0000
[('a', -1), ('b', -2), ('a', 1), ('b', 5), ('a', 5)] | 34 | 0000221211220200221111122010112211 | 4 | 0000
[('a', -2), ('b', 1), ('a', -5), ('b', -1), ('a', -4)] | 34 | 0001221210220101122121022020102212 | 4 | 0000
[('b', 4), ('a', 3), ('b', 1), ('a', -4), ('b', 4)] | 35 | 00110220102221110220101022121102201 | 4 | 0000
[('b', -2), ('a', -2), ('b', 4), ('a', -5), ('b', -5)] | 35 | 00112202012212110220101122121112202 | 4 | 0000
[('a', -1), ('b', 4), ('a', -2), ('b', -3), ('a', -1)] | 33 | 000022121102201012212122202002212 | 4 | 0000
[('b', 5), ('a', -3), ('b', -5), ('a', -5), ('b', 2)] | 35 | 00111220102221211122020112212112201 | 4 | 0000
[('a', 1), ('b', 2), ('a', 5), ('b', -2), ('a', 5)] | 34 | 0000221111220101122111122020112211 | 4 | 0000
[('a', 2), ('b', 5), ('a', 5), ('b', 5), ('a', 3)] | 35 | 00012211111220101122111112201022211 | 4 | 0000
