g | n1 | w1g | n2 | w2g
[('a', -2), ('b', 2), ('a', 3), ('b', -1), ('a', -4)] | 33 | 000122121122010222111022020102212 | 4 | 1010
[('b', 1), ('a', -1), ('b', -1), ('a', -2), ('b', -1)] | 32 | 00102201002212102202012212102202 | 4 | 1010
[('a', -5), ('b', -1), ('a', -2), ('b', -4), ('a', 2)] | 34 | 0001122121022020122121102202012211 | 4 | 0000
[('b', 1), ('a', 5), ('b', -3), ('a', 2), ('b', 2)] | 33 | 001022010112211122202012211112201 | 4 | 0000
[('b', 2), ('a', -3), ('b', -4), ('a', -4), ('b', 2)] | 34 | 0011220102221211022020102212112201 | 4 | 0000
[('a', 3), ('b', -5), ('a', 1), ('b', 3), ('a', -5)] | 34 | 0002221111122020022111222010112212 | 4 | 0000
[('b', -2), ('a', -3), ('b', 1), ('a', 2), ('b', 3)] | 32 | 00112202022212102201012211122201 | 4 | 0000
[('a', -1), ('b', 5), ('a', -1), ('b', 2), ('a', 5)] | 34 | 0000221211122010022121122010112211 | 4 | 1010
[('a', -2), ('b', -1), ('a', 1), ('b', 2), ('a', -2)] | 32 | 00012212102202002211112201012212 | 4 | 1010
[('b', 4), ('a', 1), ('b', -1), ('a', -3), ('b', -3)] | 33 | 001102201002211102202022212122202 | 4 | 0000
[('b', 5), ('a', -4), ('b', -4), ('a', 3), ('b', -2)] | 35 | 00111220101022121102202022211112202 | 4 | 0000
[('b', 2), ('a', 4), ('b', -4), ('a', -5), ('b', -5)] | 36 | 001122010102211110220201122121112202 | 4 | 0000
[('b', 5), ('a', 2), ('b', -4), ('a', -5), ('b', -4)] | 36 | 001112201012211110220201122121102202 | 6 | 000000
[('a', -5), ('b', 3), ('a', 3), ('b', -4), ('a', -4)] | 35 | 00011221212220102221111022020102212 | 4 | 1010
[('b', -5), ('a', -3), ('b', -1), ('a', -1), ('b', -4)] | 34 | 0011122020222121022020022121102202 | 4 | 0000
[('b', 4), ('a', 5), ('b', -4), ('a', 4), ('b', 1)] | 36 | 001102201011221111022020102211102201 | 4 | 1010
[('a', -4), ('b', -2), ('a', 3), ('b', -5), ('a', 2)] | 34 | 0001022121122020222111112202012211 | 4 | 0000
[('b', 4), ('a', -5), ('b', -1), ('a', 1), ('b', 3)] | 34 | 0011022010112212102202002211122201 | 4 | 0000
[('b', 1), ('a', 2), ('b', 5), ('a', -2), ('b', -5)] | 34 | 0010220101221111122010122121112202 | 4 | 1010
[('a', -5), ('b', 1), ('a', -1), ('b', 2), ('a', -2)] | 33 | 000112212102201002212112201012212 | 4 | 0000
[('a', -2), ('b', -3), ('a', 3), ('b', -3), ('a', -1)] | 32 | 00012212122202022211122202002212 | 6 | 101010
[('b', -2), ('a', 2), ('b', 3), ('a', -3), ('b', -1)] | 32 | 00112202012211122201022212102202 | 4 | 0000
[('a', 3), ('b', 3), ('a', -5), ('b', 5), ('a', -1)] | 34 | 0002221112220101122121112201002212 | 4 | 1010
[('a', 4), ('b', -2), ('a', -4), ('b', 4), ('a', -2)] | 35 | 00010221111220201022121102201012212 | 4 | 0000
[('b', 1), ('a', 2), ('b', 1), ('a', 1), ('b', -1)] | 32 | 00102201012211102201002211102202 | 4 | 1010
[('a', -3), ('b', -5), ('a', -3), ('b', -3), ('a', 5)] | 34 | 0002221211122020222121222020112211 | 4 | 0000
[('b', -1), ('a', 1), ('b', 3), ('a', 2), ('b', -5)] | 33 | 001022020022111222010122111112202 | 6 | 000000
[('a', -2), ('b', 1), ('a', -4), ('b', 1), ('a', -2)] | 33 | 000122121022010102212102201012212 | 4 | 0000
[('b', -2), ('a', 5), ('b', -5), ('a', -5), ('b', -1)] | 35 | 00112202011221111122020112212102202 | 4 | 1010
[('b', 2), ('a', 5), ('b', 5), ('a', 1), ('b', -5)] | 35 | 00112201011221111122010022111112202 | 4 | 1010
[('b', 1), ('a', -3), ('b', -3), ('a', 5), ('b', 1)] | 33 | 001022010222121222020112211102201 | 4 | 0000
[('a', -5), ('b', 3), ('a', -5), ('b', 1), ('a', 4)] | 35 | 00011221212220101122121022010102211 | 4 | 1010
[('a', 1), ('b', -1), ('a', -5), ('b', 5), ('a', -2)] | 34 | 0000221110220201122121112201012212 | 4 | 1010
[('b', -4), ('a', -2), ('b', -3), ('a', -5), ('b', -4)] | 35 | 00110220201221212220201122121102202 | 4 | 0000
[('a', -2), ('b', 3), ('a', -4), ('b', 4), ('a', -4)] | 35 | 00012212122201010221211022010102212 | 4 | 0000
[('b', 4), ('a', -4), ('b', 3), ('a', 5), ('b', 5)] | 36 | 001102201010221212220101122111112201 | 4 | 0000
[('b', 1), ('a', 1), ('b', -3), ('a', 4), ('b', 3)] | 33 | 001022010022111222020102211122201 | 4 | 0000
[('b', -1), ('a', -2), ('b', 2), ('a', 1), ('b', 3)] | 32 | 00102202012212112201002211122201 | 4 | 0000
[('b', -5), ('a', 1), ('b', -2), ('a', 2), ('b', 4)] | 34 | 0011122020022111122020122111102201 | 6 | 000000
[('a', 3), ('b', 5), ('a', -3), ('b', -5), ('a', -3)] | 34 | 0002221111122010222121112202022212 | 6 | 000000
[('b', -5), ('a', 5), ('b', 3), ('a', -3), ('b', -3)] | 34 | 0011122020112211122201022212122202 | 4 | 0000
[('a', 3), ('b', 4), ('a', 2), ('b', 1), ('a', 2)] | 33 | 000222111102201012211102201012211 | 4 | 0000
[('b', -4), ('a', -2), ('b', -5), ('a', -3), ('b', -4)] | 35 | 00110220201221211122020222121102202 | 4 | 0000
[('a', 5), ('b', -2), ('a', -5), ('b', -1), ('a', -5)] | 35 | 00011221111220201122121022020112212 | 4 | 0000
[('a', -3), ('b', -1), ('a', -5), ('b', -4), ('a', 1)] | 34 | 0002221210220201122121102202002211 | 4 | 0000
[('b', -3), ('a', -3), ('b', 1), ('a', -5), ('b', 2)] | 33 | 001222020222121022010112212112201 | 4 | 0000
[('a', 4), ('b', 1), ('a', 3), ('b', -2), ('a', -4)] | 34 | 0001022111022010222111122020102212 | 4 | 1010
[('a', 5), ('b', 4), ('a', 1), ('b', 3), ('a', 4)] | 35 | 00011221111022010022111222010102211 | 4 | 0000
[('a', 5), ('b', -2), ('a', 5), ('b', -5), ('a', -3)] | 35 | 00011221111220201122111112202022212 | 4 | 0000
[('a', -2), ('b', -2), ('a', 5), ('b', -3), ('a', 2)] | 33 | 000122121122020112211122202012211 | 4 | 0000
[('b', 4), ('a', -5), ('b', -1), ('a', 5), ('b', 4)] | 36 | 001102201011221210220201122111102201 | 4 | 1010
[('a', 1), ('b', 1), ('a', -4), ('b', 2), ('a', 3)] | 33 | 000022111022010102212112201022211 | 6 | 101010
[('a', 1), ('b', -4), ('a', 5), ('b', -2), ('a', 5)] | 35 | 00002211110220201122111122020112211 | 4 | 0000
[('a', 4), ('b', 1), ('a', 5), ('b', -2), ('a', -2)] | 34 | 0001022111022010112211112202012212 | 4 | 0000
[('a', 3), ('b', 3), ('a', -4), ('b', -3), ('a', -4)] | 34 | 0002221112220101022121222020102212 | 4 | 0000
[('a', 2), ('b', 3), ('a', -3), ('b', 5), ('a', -4)] | 34 | 0001221112220102221211122010102212 | 4 | 0000
[('a', 3), ('b', -5), ('a', 4), ('b', 3), ('a', -4)] | 35 | 00022211111220201022111222010102212 | 4 | 1010
[('b', 4), ('a', -3), ('b', 3), ('a', -4), ('b', -3)] | 34 | 0011022010222121222010102212122202 | 4 | 0000
[('a', -5), ('b', -5), ('a', 3), ('b', 1), ('a', 2)] | 34 | 0001122121112202022211102201012211 | 4 | 1010
[('b', 1), ('a', 4), ('b', -5), ('a', 4), ('b', -4)] | 36 | 001022010102211111220201022111102202 | 4 | 0000
[('a', -2), ('b', -4), ('a', -3), ('b', -4), ('a', -4)] | 35 | 00012212110220202221211022020102212 | 4 | 1010
[('b', -4), ('a', 4), ('b', 5), ('a', 4), ('b', -2)] | 36 | 001102202010221111122010102211112202 | 4 | 0000
[('b', -5), ('a', 2), ('b', -2), ('a', -2), ('b', -1)] | 33 | 001112202012211112202012212102202 | 4 | 1010
[('b', 3), ('a', -1), ('b', -1), ('a', 1), ('b', -5)] | 33 | 001222010022121022020022111112202 | 6 | 101010
[('a', 2), ('b', -2), ('a', -1), ('b', 2), ('a', -1)] | 32 | 00012211112202002212112201002212 | 8 | 00201110
[('b', 5), ('a', 1), ('b', -4), ('a', 5), ('b', -2)] | 35 | 00111220100221111022020112211112202 | 4 | 1010
[('b', 2), ('a', -5), ('b', -2), ('a', 2), ('b', 3)] | 33 | 001122010112212112202012211122201 | 6 | 000000
[('b', -5), ('a', 1), ('b', -2), ('a', 3), ('b', 2)] | 33 | 001112202002211112202022211112201 | 4 | 0000
[('b', -4), ('a', 3), ('b', -5), ('a', -4), ('b', -5)] | 36 | 001102202022211111220201022121112202 | 4 | 0000
[('b', 3), ('a', 4), ('b', 4), ('a', 4), ('b', 4)] | 36 | 001222010102211110220101022111102201 | 4 | 0000
[('b', -2), ('a', -1), ('b', 5), ('a', 2), ('b', -5)] | 34 | 0011220200221211122010122111112202 | 4 | 0000
[('b', 3), ('a', -3), ('b', -2), ('a', -1), ('b', -1)] | 32 | 00122201022212112202002212102202 | 4 | 0000
[('a', 5), ('b', 4), ('a', -4), ('b', -5), ('a', -2)] | 36 | 000112211110220101022121112202012212 | 4 | 0000
[('a', -4), ('b', -5), ('a', -5), ('b', -5), ('a', -1)] | 36 | 000102212111220201122121112202002212 | 4 | 0000
[('a', -3), ('b', -1), ('a', -5), ('b', -3), ('a', 1)] | 33 | 000222121022020112212122202002211 | 4 | 0000
[('a', -3), ('b', -4), ('a', 3), ('b', -5), ('a', -2)] | 34 | 0002221211022020222111112202012212 | 4 | 0000
[('a', 4), ('b', 5), ('a', -1), ('b', 5), ('a', -3)] | 35 | 00010221111122010022121112201022212 | 4 | 1010
[('a', 5), ('b', 2), ('a', -3), ('b', -2), ('a', -4)] | 34 | 0001122111122010222121122020102212 | 4 | 0000
[('a', 1), ('b', -5), ('a', -1), ('b', 1), ('a', 4)] | 34 | 0000221111122020022121022010102211 | 4 | 0000
[('a', -4), ('b', 2), ('a', 3), ('b', 4), ('a', -2)] | 34 | 0001022121122010222111102201012212 | 6 | 000000
[('b', 3), ('a', -5), ('b', -5), ('a', 1), ('b', -2)] | 34 | 0012220101122121112202002211112202 | 4 | 0000
[('b', 1), ('a', 3), ('b', -4), ('a', -5), ('b', -3)] | 34 | 0010220102221111022020112212122202 | 4 | 0000
[('b', 1), ('a', 1), ('b', 2), ('a', 2), ('b', 3)] | 32 | 00102201002211112201012211122201 | 6 | 000000
[('a', -2), ('b', -2), ('a', 2), ('b', 3), ('a', -3)] | 32 | 00012212112202012211122201022212 | 4 | 1010
[('a', -5), ('b', 5), ('a', 5), ('b', 1), ('a', -1)] | 35 | 00011221211122010112211102201002212 | 4 | 0000
[('a', 2), ('b', 5), ('a', 5), ('b', -1), ('a', -1)] | 34 | 0001221111122010112211102202002212 | 4 | 1010
[('a', 1), ('b', 5), ('a', 2), ('b', 2), ('a', 2)] | 33 | 000022111112201012211112201012211 | 4 | 0000
[('b', 1), ('a', 2), ('b', 3), ('a', 5), ('b', -4)] | 34 | 0010220101221112220101122111102202 | 4 | 0000
[('b', 1), ('a', -1), ('b', 3), ('a', 4), ('b', -3)] | 33 | 001022010022121222010102211122202 | 4 | 1010
[('b', 4), ('a', -4), ('b', -4), ('a', -4), ('b', 5)] | 37 | 0011022010102212110220201022121112201 | 4 | 0000
[('a', 2), ('b', 3), ('a', 5), ('b', 4), ('a', 5)] | 35 | 00012211122201011221111022010112211 | 4 | 1010
[('b', -5), ('a', -4), ('b', -5), ('a', -1), ('b', 5)] | 36 | 001112202010221211122020022121112201 | 4 | 0000
[('a', 2), ('b', -5), ('a', -2), ('b', -3), ('a', -2)] | 33 | 000122111112202012212122202012212 | 4 | 0000
[('a', -1), ('b', 2), ('a', -1), ('b', -4), ('a', -3)] | 33 | 000022121122010022121102202022212 | 4 | 0000
[('b', 1), ('a', 5), ('b', 3), ('a', 5), ('b', -5)] | 35 | 00102201011221112220101122111112202 | 4 | 0000
[('a', -2), ('b', -3), ('a', 5), ('b', 1), ('a', 5)] | 34 | 0001221212220201122111022010112211 | 4 | 0000
[('a', -2), ('b', -1), ('a', -4), ('b', 2), ('a', 2)] | 33 | 000122121022020102212112201012211 | 4 | 0000
[('b', -3), ('a', -4), ('b', -5), ('a', 4), ('b', 5)] | 36 | 001222020102212111220201022111112201 | 6 | 101010
[('b', -3), ('a', -4), ('b', -3), ('a', 4), ('b', 4)] | 35 | 00122202010221212220201022111102201 | 4 | 1010
[('b', -1), ('a', -4), ('b', 1), ('a', 2), ('b', 4)] | 34 | 0010220201022121022010122111102201 | 4 | 0000
[('b', 2), ('a', 4), ('b', 5), ('a', 4), ('b', -5)] | 36 | 001122010102211111220101022111112202 | 4 | 0000
[('a', 5), ('b', -4), ('a', -2), ('b', 3), ('a', -3)] | 34 | 0001122111102202012212122201022212 | 4 | 1010
[('b', -3), ('a', 3), ('b', -1), ('a', 3), ('b', 2)] | 32 | 00122202022211102202022211112201 | 4 | 1010
[('b', 2), ('a', -2), ('b', 1), ('a', -1), ('b', 1)] | 32 | 00112201012212102201002212102201 | 4 | 1010
[('b', -3), ('a', 3), ('b', 5), ('a', -3), ('b', 4)] | 34 | 0012220202221111122010222121102201 | 6 | 101010
