Fixed words of length 7 (count=2025):
w=1001101, g(w)=1001101
w=1001102, g(w)=1001102
w=1001110, g(w)=1001110
w=1001111, g(w)=1001111
w=1001112, g(w)=1001112
w=1001120, g(w)=1001120
w=1001121, g(w)=1001121
w=1001122, g(w)=1001122
w=1001200, g(w)=1001200
w=1001201, g(w)=1001201
w=1001202, g(w)=1001202
w=1001210, g(w)=1001210
w=1001211, g(w)=1001211
w=1001212, g(w)=1001212
w=1001220, g(w)=1001220
w=1001221, g(w)=1001221
w=1001222, g(w)=1001222
w=1002000, g(w)=1002000
w=1002001, g(w)=1002001
w=1002002, g(w)=1002002
w=1002010, g(w)=1002010
w=1002011, g(w)=1002011
w=1002012, g(w)=1002012
w=1002020, g(w)=1002020
w=1002021, g(w)=1002021
w=1002022, g(w)=1002022
w=1002100, g(w)=1002100
w=1002101, g(w)=1002101
w=1002102, g(w)=1002102
w=1002110, g(w)=1002110
w=1002111, g(w)=1002111
w=1002112, g(w)=1002112
w=1002120, g(w)=1002120
w=1002121, g(w)=1002121
w=1002122, g(w)=1002122
w=1002200, g(w)=1002200
w=1002201, g(w)=1002201
w=1002202, g(w)=1002202
w=1002210, g(w)=1002210
w=1002211, g(w)=1002211
w=1002212, g(w)=1002212
w=1002220, g(w)=1002220
w=1002221, g(w)=1002221
w=1002222, g(w)=1002222
w=1010000, g(w)=1010000
w=1010001, g(w)=1010001
w=1010002, g(w)=1010002
w=1010010, g(w)=1010010
w=1010011, g(w)=1010011
w=1010012, g(w)=1010012
w=1010020, g(w)=1010020
w=1010021, g(w)=1010021
w=1010022, g(w)=1010022
w=1010100, g(w)=1010100
w=1010101, g(w)=1010101
w=1010102, g(w)=1010102
w=1010110, g(w)=1010110
w=1010111, g(w)=1010111
w=1010112, g(w)=1010112
w=1010120, g(w)=1010120
w=1010121, g(w)=1010121
w=1010122, g(w)=1010122
w=1010200, g(w)=1010200
w=1010201, g(w)=1010201
w=1010202, g(w)=1010202
w=1010210, g(w)=1010210
w=1010211, g(w)=1010211
w=1010212, g(w)=1010212
