g = [('b', 9), ('a', 8), ('b', 2), ('a', -6), ('b', -8), ('a', 10), ('b', -3)] n=20, fixed words = 3166142148
g = [('b', -8), ('a', 5), ('b', 9), ('a', -4), ('b', -7), ('a', -8), ('b', -5)] n=20, fixed words = 1958440401
g = [('a', -7), ('b', -5), ('a', -4), ('b', -7), ('a', -1), ('b', -3), ('a', 8)] n=20, fixed words = 2397860685
g = [('b', 7), ('a', -5), ('b', -10), ('a', 1), ('b', -8), ('a', -4), ('b', 9)] n=20, fixed words = 1958440401
g = [('a', -4), ('b', -9), ('a', -8), ('b', -5), ('a', 10), ('b', 2), ('a', -3)] n=20, fixed words = 2390521518
g = [('a', -6), ('b', 4), ('a', -7), ('b', -10), ('a', 1), ('b', -7), ('a', 5)] n=20, fixed words = 1958440401
g = [('b', -10), ('a', 5), ('b', -9), ('a', 4), ('b', 5), ('a', -7), ('b', -9)] n=20, fixed words = 1958440401
g = [('a', -8), ('b', -2), ('a', 4), ('b', -10), ('a', 3), ('b', -4), ('a', -8)] n=20, fixed words = 2517317217
g = [('a', -1), ('b', -9), ('a', 4), ('b', -1), ('a', 5), ('b', 10), ('a', -5)] n=20, fixed words = 3098635434
g = [('b', 10), ('a', -8), ('b', -3), ('a', 3), ('b', -1), ('a', -10), ('b', 6)] n=20, fixed words = 2846207241
g = [('b', -2), ('a', -8), ('b', 7), ('a', -3), ('b', 3), ('a', 7), ('b', -4)] n=20, fixed words = 1958440401
g = [('b', 1), ('a', -4), ('b', 2), ('a', -1), ('b', -5), ('a', 2), ('b', -4)] n=20, fixed words = 2838295404
g = [('b', -6), ('a', 2), ('b', 5), ('a', 6), ('b', -5), ('a', -10), ('b', -10)] n=20, fixed words = 1958440401
g = [('a', -8), ('b', -8), ('a', -8), ('b', 2), ('a', -9), ('b', 2), ('a', 10)] n=20, fixed words = 2374194456
g = [('a', -6), ('b', -7), ('a', 3), ('b', 10), ('a', 7), ('b', -5), ('a', 1)] n=20, fixed words = 1958440401
g = [('a', 9), ('b', -4), ('a', -1), ('b', -9), ('a', 3), ('b', -9), ('a', 8)] n=20, fixed words = 1958440401
g = [('a', -9), ('b', 3), ('a', 2), ('b', 9), ('a', 6), ('b', 4), ('a', -10)] n=20, fixed words = 1958440401
g = [('b', 5), ('a', -1), ('b', -2), ('a', -10), ('b', -2), ('a', -7), ('b', -2)] n=20, fixed words = 2517428754
g = [('b', -3), ('a', 5), ('b', 5), ('a', 10), ('b', -7), ('a', 1), ('b', 9)] n=20, fixed words = 1958440401
g = [('b', -10), ('a', 4), ('b', -1), ('a', -3), ('b', 9), ('a', -2), ('b', 1)] n=20, fixed words = 1958440401
g = [('b', -10), ('a', 8), ('b', 5), ('a', -9), ('b', -7), ('a', -9), ('b', 10)] n=20, fixed words = 1958440401
g = [('b', 2), ('a', 4), ('b', -10), ('a', -9), ('b', -4), ('a', -2), ('b', -7)] n=20, fixed words = 1958440401
g = [('a', 5), ('b', -10), ('a', 9), ('b', 2), ('a', 4), ('b', -9), ('a', -1)] n=20, fixed words = 1958440401
g = [('a', 8), ('b', 3), ('a', 9), ('b', -6), ('a', 7), ('b', 3), ('a', -9)] n=20, fixed words = 3169460853
g = [('a', -9), ('b', 8), ('a', 2), ('b', 1), ('a', -4), ('b', -6), ('a', -2)] n=20, fixed words = 2390521275
g = [('b', -3), ('a', 9), ('b', 10), ('a', -3), ('b', 5), ('a', -8), ('b', 10)] n=20, fixed words = 1958440401
g = [('b', 3), ('a', 8), ('b', 1), ('a', 8), ('b', -7), ('a', -7), ('b', -10)] n=20, fixed words = 2502121968
g = [('b', 7), ('a', -5), ('b', -2), ('a', 1), ('b', -3), ('a', -8), ('b', 5)] n=20, fixed words = 2383070490
g = [('b', -2), ('a', 6), ('b', 9), ('a', -7), ('b', -9), ('a', -8), ('b', 6)] n=20, fixed words = 2550206754
g = [('a', -10), ('b', -9), ('a', -8), ('b', -5), ('a', 4), ('b', -3), ('a', -3)] n=20, fixed words = 1958440401
g = [('b', -9), ('a', 4), ('b', 3), ('a', 7), ('b', -4), ('a', -6), ('b', 2)] n=20, fixed words = 1958440401
g = [('a', 9), ('b', 7), ('a', -1), ('b', -7), ('a', -8), ('b', -5), ('a', 8)] n=20, fixed words = 1958440401
